Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
189,Jim Jackson\jacksji01,SF,30,ATL,17,550,12.7,0.478,0.175,0.392,3.4,12.6,8.0,15.4,1.8,0.5,15.9,24.6,,-0.1,0.4,0.4,0.031,,-0.6,-1.3,-1.9,0.0,14,4.5,12.8,0.355,0.9,2.2,0.42100000000000004,3.6,10.5,0.341,0.392,4.3,5.0,0.8590000000000001,1.0,3.6,4.6,2.9,1.1,0.2,2.8,2.5,14.3
189,Jim Jackson\jacksji01,SF,30,CLE,39,1140,9.7,0.44299999999999995,0.10099999999999999,0.20199999999999999,3.7,11.1,7.4,16.9,1.6,0.4,15.4,21.2,,-0.8,0.6,-0.2,-0.01,,-2.9,-1.3,-4.2,-0.6,26,4.2,10.6,0.39,0.3,1.1,0.23800000000000002,3.9,9.6,0.408,0.402,1.7,2.2,0.7859999999999999,0.9,2.8,3.7,2.9,0.9,0.2,2.1,2.5,10.3
190,Marc Jackson\jacksma02,C,26,GSW,48,1410,16.1,0.534,0.045,0.37799999999999995,8.3,19.8,13.6,7.3,1.2,1.4,13.6,20.5,,1.9,0.7,2.6,0.08900000000000001,,-0.2,-1.4,-1.6,0.2,35,4.9,10.6,0.467,0.1,0.5,0.217,4.8,10.1,0.478,0.47100000000000003,3.2,4.0,0.802,2.5,5.0,7.5,1.2,0.7,0.6,1.9,2.9,13.2
191,Mark Jackson\jacksma01,PG,35,TOT,83,2588,14.9,0.506,0.355,0.16,2.8,10.9,6.8,39.3,1.7,0.2,21.9,14.2,,3.6,2.3,5.9,0.11,,1.3,-0.2,1.0,2.0,82,2.9,7.0,0.419,0.8,2.5,0.33799999999999997,2.1,4.5,0.46299999999999997,0.479,0.9,1.1,0.785,0.8,2.9,3.7,8.0,1.0,0.1,2.1,1.7,7.6
191,Mark Jackson\jacksma01,PG,35,TOR,54,1802,16.3,0.528,0.409,0.18899999999999997,2.6,9.2,5.8,41.3,1.8,0.3,21.1,13.7,,3.5,1.2,4.7,0.125,,2.3,-0.6,1.8,1.7,54,3.1,7.5,0.42200000000000004,1.1,3.1,0.345,2.1,4.4,0.475,0.493,1.2,1.4,0.8420000000000001,0.8,2.6,3.4,9.2,1.2,0.1,2.2,1.5,8.5
191,Mark Jackson\jacksma01,PG,35,NYK,29,786,11.8,0.45299999999999996,0.233,0.094,3.3,14.8,9.2,34.7,1.5,0.0,23.6,15.3,,0.1,1.2,1.2,0.07400000000000001,,-1.2,0.5,-0.6,0.3,28,2.6,6.2,0.41100000000000003,0.4,1.4,0.31,2.1,4.8,0.442,0.447,0.3,0.6,0.529,0.7,3.4,4.1,5.6,0.7,0.0,2.0,1.9,5.9
192,Stephen Jackson\jacksst02,SF,22,NJN,77,1660,12.1,0.503,0.271,0.23600000000000002,2.8,11.9,7.2,15.1,2.7,0.6,17.1,20.8,,-0.4,1.3,0.9,0.026000000000000002,,-1.6,0.1,-1.6,0.2,40,3.2,7.4,0.425,0.7,2.0,0.335,2.5,5.4,0.45799999999999996,0.47,1.3,1.8,0.7190000000000001,0.5,2.2,2.7,1.8,1.1,0.2,1.7,2.2,8.2
193,Sam Jacobson\jacobsa01,PG,25,MIN,14,59,10.7,0.518,0.0,0.16699999999999998,5.8,5.9,5.8,10.6,2.7,0.0,0.0,14.8,,0.1,0.0,0.2,0.147,,-5.9,1.6,-4.3,0.0,0,0.6,1.3,0.5,0.0,0.0,,0.6,1.3,0.5,0.5,0.1,0.2,0.667,0.2,0.2,0.4,0.3,0.2,0.0,0.0,1.4,1.4
194,Tim James\jamesti01,SF,24,CHH,30,197,5.8,0.387,0.057999999999999996,0.26899999999999996,8.7,11.5,10.1,6.5,0.5,1.9,12.1,15.5,,-0.1,0.2,0.1,0.022000000000000002,,-5.9,-1.1,-6.9,-0.2,0,0.5,1.7,0.308,0.0,0.1,0.33299999999999996,0.5,1.6,0.306,0.317,0.4,0.5,0.857,0.5,0.7,1.2,0.3,0.1,0.2,0.3,0.9,1.5
195,Antawn Jamison\jamisan01,SF,24,GSW,82,3394,19.0,0.499,0.113,0.295,8.1,14.8,11.2,9.5,1.7,0.6,8.9,27.9,,5.4,1.3,6.7,0.094,,2.8,-2.0,0.8,2.3,82,9.8,22.1,0.442,0.8,2.5,0.302,9.0,19.6,0.45899999999999996,0.45899999999999996,4.7,6.5,0.715,3.4,5.3,8.7,2.0,1.4,0.3,2.4,2.7,24.9
196,Anthony Johnson\johnsan02,PG,26,TOT,53,511,8.1,0.39,0.033,0.217,2.2,7.6,4.9,24.5,2.4,0.8,17.0,17.6,,-0.5,0.3,-0.2,-0.019,,-4.4,0.1,-4.3,-0.3,0,1.0,2.9,0.349,0.0,0.1,0.2,1.0,2.8,0.354,0.35200000000000004,0.4,0.6,0.6970000000000001,0.2,0.6,0.8,1.5,0.4,0.1,0.6,1.2,2.5
196,Anthony Johnson\johnsan02,PG,26,ATL,25,279,7.2,0.408,0.042,0.239,1.2,8.0,4.6,19.2,3.2,1.3,20.3,15.8,,-0.4,0.3,-0.1,-0.013000000000000001,,-5.7,1.8,-3.9,-0.1,0,1.0,2.8,0.366,0.0,0.1,0.0,1.0,2.7,0.382,0.366,0.5,0.7,0.706,0.1,0.8,0.9,1.4,0.7,0.2,0.8,1.6,2.6
196,Anthony Johnson\johnsan02,PG,26,CLE,28,232,9.1,0.375,0.025,0.198,3.5,7.0,5.2,31.0,1.4,0.3,13.7,19.9,,-0.2,0.1,-0.1,-0.025,,-2.9,-1.8,-4.8,-0.2,0,1.0,2.9,0.33299999999999996,0.0,0.1,0.5,0.9,2.8,0.32899999999999996,0.34,0.4,0.6,0.688,0.3,0.5,0.8,1.6,0.2,0.0,0.5,0.8,2.4
197,Avery Johnson\johnsav01,PG,35,SAS,55,1290,11.5,0.475,0.02,0.2,1.9,5.3,3.7,29.5,1.4,0.2,15.5,14.1,,1.3,1.3,2.6,0.098,,-1.3,0.1,-1.2,0.3,20,2.4,5.5,0.447,0.0,0.1,0.16699999999999998,2.4,5.3,0.452,0.44799999999999995,0.7,1.1,0.6829999999999999,0.4,1.2,1.5,4.3,0.6,0.1,1.1,1.6,5.6
198,DerMarr Johnson\johnsde03,SF,20,ATL,78,1313,8.4,0.46299999999999997,0.326,0.223,4.7,10.4,7.6,7.9,1.7,1.6,17.8,17.7,,-0.9,0.9,0.0,0.0,,-2.8,-0.8,-3.5,-0.5,21,1.9,5.0,0.374,0.5,1.6,0.32299999999999995,1.3,3.4,0.39899999999999997,0.42700000000000005,0.8,1.1,0.736,0.7,1.6,2.3,0.8,0.6,0.4,1.2,1.7,5.1
199,Ervin Johnson\johnser02,C,33,MIL,82,1981,11.2,0.557,0.0,0.47,11.8,23.2,17.5,2.8,1.2,3.6,16.4,6.5,,2.6,2.5,5.1,0.12300000000000001,,-1.3,0.5,-0.8,0.6,19,1.3,2.4,0.545,0.0,0.0,,1.3,2.4,0.545,0.545,0.6,1.1,0.5379999999999999,2.5,5.0,7.5,0.5,0.5,1.2,0.6,3.1,3.2
200,Larry Johnson\johnsla02,PF,31,NYK,65,2105,11.2,0.493,0.273,0.214,5.3,15.2,10.4,10.5,1.0,1.1,12.9,17.4,,1.0,3.1,4.1,0.09300000000000001,,-1.0,0.9,-0.1,1.0,65,3.8,9.2,0.41100000000000003,0.8,2.5,0.313,3.0,6.7,0.44799999999999995,0.45399999999999996,1.6,2.0,0.797,1.4,4.2,5.6,2.0,0.6,0.4,1.5,3.2,9.9
201,Damon Jones\jonesda01,PG,24,VAN,71,1415,13.0,0.525,0.555,0.125,1.3,8.7,5.0,26.2,1.3,0.0,14.8,16.6,,1.4,0.4,1.8,0.062,,0.7,-1.1,-0.3,0.6,10,2.4,5.9,0.409,1.2,3.3,0.364,1.2,2.6,0.465,0.51,0.5,0.7,0.7120000000000001,0.2,1.5,1.7,3.2,0.5,0.0,1.1,0.8,6.5
202,Eddie Jones\jonesed02,SG,29,MIA,63,2282,18.8,0.5529999999999999,0.273,0.31,3.9,11.3,7.6,14.8,2.7,2.0,12.0,23.9,,3.9,4.0,7.9,0.166,,2.5,2.1,4.6,3.8,58,6.2,13.8,0.445,1.4,3.8,0.37799999999999995,4.7,10.0,0.47100000000000003,0.49700000000000005,3.6,4.3,0.8440000000000001,1.2,3.4,4.6,2.7,1.7,0.9,2.1,2.9,17.4
203,Jumaine Jones\jonesju01,SF,21,PHI,65,866,14.2,0.51,0.218,0.193,8.4,16.1,12.3,6.3,1.8,1.3,11.6,17.6,,0.9,1.4,2.3,0.125,,0.0,0.4,0.4,0.5,0,1.9,4.2,0.444,0.3,0.9,0.33299999999999996,1.6,3.3,0.474,0.48,0.6,0.8,0.755,1.0,1.9,2.9,0.5,0.5,0.2,0.6,1.0,4.7
204,Popeye Jones\jonespo01,PF,30,WAS,45,638,13.1,0.457,0.039,0.359,14.9,25.6,20.2,7.8,1.5,0.9,10.6,13.8,,0.8,0.5,1.2,0.094,,-1.3,-1.7,-3.0,-0.2,1,1.3,3.4,0.392,0.0,0.1,0.16699999999999998,1.3,3.3,0.401,0.395,0.9,1.2,0.745,1.8,3.0,4.9,0.7,0.4,0.2,0.5,2.1,3.6
205,Garth Joseph\josepga01,C,27,TOT,4,16,-5.0,0.17,0.0,0.4,13.7,0.0,7.0,9.8,0.0,4.3,25.4,22.0,,-0.1,0.0,-0.1,-0.345,,-13.6,-6.3,-19.9,-0.1,0,0.3,1.3,0.2,0.0,0.0,,0.3,1.3,0.2,0.2,0.0,0.5,0.0,0.5,0.0,0.5,0.3,0.0,0.3,0.5,0.3,0.5
205,Garth Joseph\josepga01,C,27,TOR,2,8,11.3,0.5,0.0,0.0,27.5,0.0,14.1,19.6,0.0,0.0,33.3,16.8,,0.0,0.0,0.0,0.017,,-2.5,-3.6,-6.1,0.0,0,0.5,1.0,0.5,0.0,0.0,,0.5,1.0,0.5,0.5,0.0,0.0,,1.0,0.0,1.0,0.5,0.0,0.0,0.5,0.5,1.0
205,Garth Joseph\josepga01,C,27,DEN,2,8,-21.3,0.0,0.0,0.667,0.0,0.0,0.0,0.0,0.0,8.6,20.5,27.2,,-0.1,0.0,-0.1,-0.7070000000000001,,-24.7,-8.9,-33.6,-0.1,0,0.0,1.5,0.0,0.0,0.0,,0.0,1.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
